lineItem/referenceNo,lineItem/tenantId,lineItem/intervalUsageStart,lineItem/intervalUsageEnd,product/service,product/resource,product/compartmentId,product/compartmentName,product/region,product/availabilityDomain,product/resourceId,usage/consumedQuantity,usage/billedQuantity,usage/consumedQuantityUnits,usage/consumedQuantityMeasure,lineItem/isCorrection,lineItem/backreferenceNo,tags/Oracle-Tags.CreatedBy,tags/Oracle-Tags.CreatedOn,tags/orcl-cloud.free-tier-retained
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdalLVyzNq25udjiL/oba9Vg==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T22:00Z,2026-08-09T23:00Z,NETWORK,PIC_COMPUTE_OUTBOUND_DATA_TRANSFER_ZONE1,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,,ocid1.vnic.oc1.iad.abuwcljrulywwfquj64xgklfgwwm4vjskacjxwollass2xymh2snwrf44moq,4701724.0,4701724.0,BYTES,DATA_TRANSFERRED,false,,,,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdrZov1eTo17DFATf5eRs+5g==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T22:00Z,2026-08-09T23:00Z,BLOCK_STORAGE,PIC_BLOCK_STORAGE_STANDARD_FREE,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.bootvolume.oc1.iad.abuwcljrujpoq7klqwup75isrxgi4ri52zyl2ji32e4dztevq4mob5aosnpq,7.2E8,7.2E8,GB_MS,STORAGE_SIZE,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,true
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdNj7B5qR3ruwHJstHPR5aZw==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T22:00Z,2026-08-09T23:00Z,COMPUTE,PIC_COMPUTE_STANDARD_A1_OCPU,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.instance.oc1.iad.anuwcljr45s43oicnno7upteaiybkusaiott4hs7uo7wjzu6gpjol7i6omha,1.44E7,1.44E7,MS,OCPUS,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkduG0tLEbDhWEcO5INxa+1ng==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T22:00Z,2026-08-09T23:00Z,COMPUTE,PIC_COMPUTE_STANDARD_A1_MEMORY,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.instance.oc1.iad.anuwcljr45s43oicnno7upteaiybkusaiott4hs7uo7wjzu6gpjol7i6omha,8.64E7,8.64E7,GB_MS,MEMORY,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdKfK9Fqbrj4BabBfzdUCegg==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T23:00Z,2026-08-10T00:00Z,NETWORK,PIC_COMPUTE_OUTBOUND_DATA_TRANSFER_ZONE1,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,,ocid1.vnic.oc1.iad.abuwcljrulywwfquj64xgklfgwwm4vjskacjxwollass2xymh2snwrf44moq,4686427.0,4686427.0,BYTES,DATA_TRANSFERRED,false,,,,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdOfXOQlrLcZRpX9kYaR45ng==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T23:00Z,2026-08-10T00:00Z,BLOCK_STORAGE,PIC_BLOCK_STORAGE_STANDARD_FREE,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.bootvolume.oc1.iad.abuwcljrujpoq7klqwup75isrxgi4ri52zyl2ji32e4dztevq4mob5aosnpq,7.2E8,7.2E8,GB_MS,STORAGE_SIZE,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,true
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdHeEjLF7mCxXcwLEgCVEEpw==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T23:00Z,2026-08-10T00:00Z,COMPUTE,PIC_COMPUTE_STANDARD_A1_OCPU,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.instance.oc1.iad.anuwcljr45s43oicnno7upteaiybkusaiott4hs7uo7wjzu6gpjol7i6omha,1.44E7,1.44E7,MS,OCPUS,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdKL2oX9J3RZojg79idUk20A==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-09T23:00Z,2026-08-10T00:00Z,COMPUTE,PIC_COMPUTE_STANDARD_A1_MEMORY,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.instance.oc1.iad.anuwcljr45s43oicnno7upteaiybkusaiott4hs7uo7wjzu6gpjol7i6omha,8.64E7,8.64E7,GB_MS,MEMORY,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdJ9aNNo6ae07DcDrApz+BDA==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-10T00:00Z,2026-08-10T01:00Z,BLOCK_STORAGE,PIC_BLOCK_STORAGE_STANDARD_FREE,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.bootvolume.oc1.iad.abuwcljrujpoq7klqwup75isrxgi4ri52zyl2ji32e4dztevq4mob5aosnpq,7.2E8,7.2E8,GB_MS,STORAGE_SIZE,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,true
V2.WGBrFmV8Qw2cKOQF9CCHoxMDco8Nx90vV50PwFShZsA+rwyhpOvR8RbDcB7rhLkdNcDx9KnCgHIWuP9JDwptIw==,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,2026-08-10T00:00Z,2026-08-10T01:00Z,COMPUTE,PIC_COMPUTE_STANDARD_A1_MEMORY,ocid1.tenancy.oc1..aaaaaaaakfjwqcvw6x3pkpw7vykcrggubwmaq54x43257chpe5cwmyqid2sq,rohitmahto9001,us-ashburn-1,Nrbg:US-ASHBURN-AD-3,ocid1.instance.oc1.iad.anuwcljr45s43oicnno7upteaiybkusaiott4hs7uo7wjzu6gpjol7i6omha,8.64E7,8.64E7,GB_MS,MEMORY,false,,default/rohitmahto9001@gmail.com,2026-08-09T19:25:08.764Z,
